,Text File Links
132,https://www.sec.gov/Archives/edgar/data/1013243/0000950144-98-003960.txt
133,https://www.sec.gov/Archives/edgar/data/1013243/0000950144-97-003450.txt
134,https://www.sec.gov/Archives/edgar/data/1303849/000119312512426141/0001193125-12-426141.txt
135,https://www.sec.gov/Archives/edgar/data/1303849/000119312512409093/0001193125-12-409093.txt
136,https://www.sec.gov/Archives/edgar/data/1303849/000119312511255422/0001193125-11-255422.txt
137,https://www.sec.gov/Archives/edgar/data/1303849/000114420410051180/0001144204-10-051180.txt
138,https://www.sec.gov/Archives/edgar/data/1303849/000114420409050353/0001144204-09-050353.txt
139,https://www.sec.gov/Archives/edgar/data/1303849/000114420408054365/0001144204-08-054365.txt
140,https://www.sec.gov/Archives/edgar/data/1303849/000119312507259648/0001193125-07-259648.txt
141,https://www.sec.gov/Archives/edgar/data/1303849/000119312507208783/0001193125-07-208783.txt
142,https://www.sec.gov/Archives/edgar/data/4515/000000620121000014/0000006201-21-000014.txt
143,https://www.sec.gov/Archives/edgar/data/4515/000000620120000023/0000006201-20-000023.txt
144,https://www.sec.gov/Archives/edgar/data/4515/000000620119000009/0000006201-19-000009.txt
145,https://www.sec.gov/Archives/edgar/data/4515/000000620118000009/0000006201-18-000009.txt
146,https://www.sec.gov/Archives/edgar/data/4515/000119312517051216/0001193125-17-051216.txt
147,https://www.sec.gov/Archives/edgar/data/4515/000119312516474605/0001193125-16-474605.txt
148,https://www.sec.gov/Archives/edgar/data/4515/000119312515061145/0001193125-15-061145.txt
149,https://www.sec.gov/Archives/edgar/data/4515/000000620114000004/0000006201-14-000004.txt
150,https://www.sec.gov/Archives/edgar/data/6201/000119312513155496/0001193125-13-155496.txt
151,https://www.sec.gov/Archives/edgar/data/6201/000000620113000023/0000006201-13-000023.txt
152,https://www.sec.gov/Archives/edgar/data/6201/000119312512063516/0001193125-12-063516.txt
153,https://www.sec.gov/Archives/edgar/data/6201/000095012311014726/0000950123-11-014726.txt
154,https://www.sec.gov/Archives/edgar/data/6201/000000620110000006/0000006201-10-000006.txt
155,https://www.sec.gov/Archives/edgar/data/6201/000000620109000009/0000006201-09-000009.txt
156,https://www.sec.gov/Archives/edgar/data/6201/000000451508000014/0000004515-08-000014.txt
157,https://www.sec.gov/Archives/edgar/data/6201/000095013407004263/0000950134-07-004263.txt
158,https://www.sec.gov/Archives/edgar/data/6201/000095013407003888/0000950134-07-003888.txt
159,https://www.sec.gov/Archives/edgar/data/6201/000000620106000049/0000006201-06-000049.txt
160,https://www.sec.gov/Archives/edgar/data/6201/000095013406003715/0000950134-06-003715.txt
161,https://www.sec.gov/Archives/edgar/data/6201/000095013405003726/0000950134-05-003726.txt
162,https://www.sec.gov/Archives/edgar/data/6201/000095013404002668/0000950134-04-002668.txt
163,https://www.sec.gov/Archives/edgar/data/6201/000104746903013301/0001047469-03-013301.txt
164,https://www.sec.gov/Archives/edgar/data/6201/000095013402001661/0000950134-02-001661.txt
165,https://www.sec.gov/Archives/edgar/data/6201/000095013401002483/0000950134-01-002483.txt
166,https://www.sec.gov/Archives/edgar/data/6201/000095013400002454/0000950134-00-002454.txt
167,https://www.sec.gov/Archives/edgar/data/6201/0000950134-99-001798.txt
168,https://www.sec.gov/Archives/edgar/data/6201/0000950134-98-005242.txt
169,https://www.sec.gov/Archives/edgar/data/6201/0000950134-98-002532.txt
170,https://www.sec.gov/Archives/edgar/data/6201/0000950134-97-002243.txt
171,https://www.sec.gov/Archives/edgar/data/6201/0000950134-96-000838.txt
172,https://www.sec.gov/Archives/edgar/data/6201/0000950134-95-000523.txt
173,https://www.sec.gov/Archives/edgar/data/6201/0000950134-94-000325.txt
174,https://www.sec.gov/Archives/edgar/data/1555074/000114036121015375/0001140361-21-015375.txt
175,https://www.sec.gov/Archives/edgar/data/1555074/000155507421000032/0001555074-21-000032.txt
176,https://www.sec.gov/Archives/edgar/data/1555074/000155507420000016/0001555074-20-000016.txt
177,https://www.sec.gov/Archives/edgar/data/1555074/000155507420000013/0001555074-20-000013.txt
178,https://www.sec.gov/Archives/edgar/data/1555074/000155507419000006/0001555074-19-000006.txt
179,https://www.sec.gov/Archives/edgar/data/1555074/000155507419000004/0001555074-19-000004.txt
180,https://www.sec.gov/Archives/edgar/data/1555074/000155507418000004/0001555074-18-000004.txt
181,https://www.sec.gov/Archives/edgar/data/1555074/000155507417000006/0001555074-17-000006.txt
182,https://www.sec.gov/Archives/edgar/data/1555074/000155507416000051/0001555074-16-000051.txt
183,https://www.sec.gov/Archives/edgar/data/1555074/000155507415000007/0001555074-15-000007.txt
184,https://www.sec.gov/Archives/edgar/data/1555074/000119312514060955/0001193125-14-060955.txt
185,https://www.sec.gov/Archives/edgar/data/1555074/000155507413000005/0001555074-13-000005.txt
186,https://www.sec.gov/Archives/edgar/data/8177/000114036121009603/0001140361-21-009603.txt
187,https://www.sec.gov/Archives/edgar/data/8177/000114036120006734/0001140361-20-006734.txt
188,https://www.sec.gov/Archives/edgar/data/8177/000114036119006219/0001140361-19-006219.txt
189,https://www.sec.gov/Archives/edgar/data/8177/000114036118015001/0001140361-18-015001.txt
190,https://www.sec.gov/Archives/edgar/data/8177/000156761917000512/0001567619-17-000512.txt
191,https://www.sec.gov/Archives/edgar/data/8177/000156761916002103/0001567619-16-002103.txt
192,https://www.sec.gov/Archives/edgar/data/8177/000156761915000622/0001567619-15-000622.txt
193,https://www.sec.gov/Archives/edgar/data/8177/000156761915000337/0001567619-15-000337.txt
194,https://www.sec.gov/Archives/edgar/data/8177/000114036114014200/0001140361-14-014200.txt
195,https://www.sec.gov/Archives/edgar/data/8177/000114036113014090/0001140361-13-014090.txt
196,https://www.sec.gov/Archives/edgar/data/8177/000114036112017382/0001140361-12-017382.txt
197,https://www.sec.gov/Archives/edgar/data/8177/000114036111018563/0001140361-11-018563.txt
198,https://www.sec.gov/Archives/edgar/data/8177/000095012310028692/0000950123-10-028692.txt
199,https://www.sec.gov/Archives/edgar/data/8177/000095014409002745/0000950144-09-002745.txt
200,https://www.sec.gov/Archives/edgar/data/8177/000095014408002428/0000950144-08-002428.txt
201,https://www.sec.gov/Archives/edgar/data/8177/000095014407002889/0000950144-07-002889.txt
202,https://www.sec.gov/Archives/edgar/data/8177/000095014406003023/0000950144-06-003023.txt
203,https://www.sec.gov/Archives/edgar/data/8177/000095014405003330/0000950144-05-003330.txt
204,https://www.sec.gov/Archives/edgar/data/8177/000095014404003175/0000950144-04-003175.txt
205,https://www.sec.gov/Archives/edgar/data/8177/000095014403004207/0000950144-03-004207.txt
